,Type,NATO designation,Pennant No.,Name (English),Name (Han 汉),Commissioned,Displacement[a],Fleet,Status,Displacement,Name (Han 中文),VLS Cells,Classification
455,Dongbo 22-class barge,?,Dong-Bo 22,East Barge 22,,?,,East Sea Fleet,Active,? t,东驳 22,,
456,Dongbo 22-class barge,?,Dong-Bo 23,East Barge 23,,?,,East Sea Fleet,Active,? t,东驳 23,,
457,Dongbo 22-class barge,?,Dong-Bo 24,East Barge 24,,?,,East Sea Fleet,Active,? t,东驳 24,,
458,Dongbo 39-class barge (YF),?,Dong-Bo 39,East Barge 39,,?,,East Sea Fleet,Active,? t,东驳 39,,
459,Dongdao-class reefer ship,Dongdao class,Bei-Leng 599,North Refrigeration 599,,Early 1960s,,North Sea Fleet,Active,1600 t,北冷 599,,
460,Dongleng-class reefer ship,Dongleng class,Dong-Leng 794,East Refrigeration 794,,Early 1960s,,East Sea Fleet,Active,1290 t,东冷 794,,
461,Qiongsha-class cargo ship,Qiongsha class,Nan-Yun 832,South Transort 832,,1980s,,South Sea Fleet,Active,2150 t,南运 832,,
462,Retired landing ships/crafts,Various,Various,Various,,?,,All fleets,Active,Various,Various,,
463,Beiqi 346-class crane ship,?,Bei-Qi 346,North Lift 346,,?,,North Sea Fleet,Active,? t,北起 346,,
464,Beiqi 346-class crane ship,?,Dong-Qi 423,East Lift 423,,?,,East Sea Fleet,Active,? t,东起 423,,
465,Beiqi 346-class crane ship,?,Dong-Qi 428,East Lift 428,,?,,East Sea Fleet,Active,? t,东起 428,,
466,Beiqi 346-class crane ship,?,Nan-Qi 745,South Lift 745,,?,,South Sea Fleet,Active,? t,南起 745,,
467,Beiqi 384-class crane ship,?,Bei-Qi 384,North Lift 384,,?,,North Sea Fleet,Active,? t,北起 384,,
468,Crane ship of unidentified type/class,?,Nan-Qi 746,South Lift 746,,?,,South Sea Fleet,Active,? t,南起 746,,
469,Type 911,Dazar class,Dong-Qin 870,East Logistics 870,,2009,,East Sea Fleet,Active,? t,东勤 870,,
470,Type 911,Dazar class,Nan-Qin 207,South Logisitics 207,,2017,,South Sea Fleet,Active,? t,南勤 207,,
471,Type 912IIIAH,Yanci class,Bei-Qin 736,North Logistics 736,,1988 onward,,North Sea Fleet,Active,848 t,北勤 736,,
472,Type 912IIIAH,Yanci class,Dong-Qin 864,East Logistics 864,,1988 onward,,East Sea Fleet,Active,848 t,东勤 864,,
473,Type 912IIIAH,Yanci class,Nan-Qin 203,South Logistics 203,,"January 15, 1998",,South Sea Fleet,Active,848 t,南勤 203,,
474,Type 912IIIAH,Yanci class,Nan-Qin 205,South Logistics 205,,1988 onward,,South Sea Fleet,Active,848 t,南勤 205,,
475,Type 912IIIA,Yanbai class,Dong-Qin 860,East Logistics 860,,1988 onward,,East Sea Fleet,Active,746 t,东勤 860,,
476,Type 912IIIA,Yanbai class,Dong-Qin 863,East Logistics 863,,1988 onward,,East Sea Fleet,Active,746 t,东勤 863,,
477,Type 912III,Yanbai class,Bei-Qin 735,North Logistics 735,,December 1973,,North Sea Fleet,Active,746 t,北勤 735,,
478,Type 912I,Yanbai class,Nan-Qin 202,South Logistics 202,,December 1972,,South Sea Fleet,Active,570 t,南勤 202,,
479,Type 912,Yanbai class,Bei-Qin 731,North Logistics 731,,March 1970,,North Sea Fleet,Active,570 t,北勤 731,,
480,Longma-class dive tender / rescue ship,Longma class,Bei-Jiu 141,North Rescue 141,,?,,North Sea Fleet,Active,? t,北救 141,,
481,Longma-class dive tender / rescue ship,Longma class,Bei-Jiu 142,North Rescue 142,,?,,North Sea Fleet,Active,? t,北救 142,,
482,Longma-class dive tender / rescue ship,Longma class,Nan-Jiu 507,South Rescue 507,,?,,South Sea Fleet,Active,? t,南救 507,,
483,Type 904I dive tender / research ship,Yanqian class,Kan-Cha No. 1,Survey No. 1,,August 1981,,All fleets,Active,1354 t,勘查一号,,
484,Type 904II dive tender / research ship,Yanqian class,Kan-Cha No. 2,Survey No. 2,,May 1983,,All fleets,Active,1327 t,勘查二号,,
485,8 cubic meter-class dredger,?,Jiao-Zhua 110,Jiao-Zhua 110,,July 1987,,East Sea Fleet,Active,? t,交抓 110,,
486,Beijun 204-class dredger,?,Bei-Jun 204,North Deepen 204,,?,,North Sea Fleet,Active,? t,北浚 204,,
487,Beijun 204-class dredger,?,Bei-Jun 272,North Deepen 272,,?,,North Sea Fleet,Active,? t,北浚 272,,
488,Beijun 204-class dredger,?,Nan-Jun 609,South Deepen 609,,?,,South Sea Fleet,Active,? t,南浚 609,,
489,Dongjun 417-class dredger,?,Dong-Jun 417,East Deepen 417,,?,,East Sea Fleet,Active,? t,东浚 417,,
490,Dongjun 433-class dredger,?,Dong-Jun 433,East Deepen 433,,?,,East Sea Fleet,Active,? t,东浚 433,,
491,Dongjun 434-class dredger,?,Dong-Jun 434,East Deepen 434,,?,,East Sea Fleet,Active,? t,东浚 434,,
492,Dredger of unidentified type/class,?,Bei-Jun 271,North Deepen 746,,?,,North Sea Fleet,Active,? t,北浚 271,,
493,Dredger of unidentified type/class,?,Bei-Jun 273,North Deepen 273,,?,,North Sea Fleet,Active,? t,北浚 273,,
494,Dredger of unidentified type/class,?,Bei-Jun 274,North Deepen 274,,?,,North Sea Fleet,Active,? t,北浚 274,,
495,Dredger of unidentified type/class,?,Bei-Jun 277,North Deepen 277,,?,,North Sea Fleet,Active,? t,北浚 277,,
496,Dredger of unidentified type/class,?,Bei-Jun 278,North Deepen 278,,?,,North Sea Fleet,Active,? t,北浚 278,,
497,Nanjun 610-class dredger,?,Nan-Jun 610,South Deepen 610,,?,,South Sea Fleet,Active,? t,南浚 610,,
498,Nanjun 610-class dredger,?,Nan-Jun 611,South Deepen 611,,?,,South Sea Fleet,Active,? t,南浚 611,,
499,Engineering ship of unidentified type/class,?,Bei-Gong 275,North Engineering 275,,?,,North Sea Fleet,Active,? t,北工 275,,
500,Engineering ship of unidentified type/class,?,Bei-Gong 276,North Engineering 276,,?,,North Sea Fleet,Active,? t,北工 276,,
501,Dulaji-class environmental research ship,Dulaji class,Bei-Jian 04,North Monitor 04,,?,,North Sea Fleet,Active,300 t,北监 04,,
502,Dulaji-class environmental research ship,Dulaji class,Bei-Jian 10,North Monitor 10,,?,,North Sea Fleet,Active,300 t,北监 10,,
503,Dulaji-class environmental research ship,Dulaji class,Dong-Jian 06,East Monitor 06,,?,,East Sea Fleet,Active,300 t,东监 06,,
504,Dulaji-class environmental research ship,Dulaji class,Nan-Jian 03,South Monitor 03,,?,,South Sea Fleet,Active,300 t,南监 03,,
505,Type 901 fast combat support ship,Fuyu class,965,Hulun Lake,,2017,,,Active,"48,000 t",呼伦湖,,
506,Type 901 fast combat support ship,Fuyu class,967,Chagan Lake,,2018,,,Active,"48,000 t",查干湖,,
507,Type 904B general stores issue ship,Danyao II class,962,Lugu Lake,,2015,,South Sea Fleet,Active,"15,000 t",泸沽湖,,
508,Type 904B general stores issue ship,Danyao II class,961,Junshan Lake,,2015,,South Sea Fleet,Active,"15,000 t",军山湖,,
509,Type 904A general stores issue ship,Danyao I class,888,Fuxian Lake,,2007,,South Sea Fleet,Active,"15,000 t",抚仙湖,,
510,Type 904 general stores issue ship,Dayun class,883,Dongting Lake,,1992,,South Sea Fleet,Active,"11,000 t",洞庭湖,,
511,Type 903 replenishment ship,Fuchi I class,886,Qiandao Lake,,2004,,East Sea Fleet,Active,"25,000 t",千岛湖,,
512,Type 903 replenishment ship,Fuchi I class,887,Weishan Lake,,2004,,South Sea Fleet,Active,"25,000 t",微山湖,,
513,Type 903A replenishment ship,Fuchi II class,889,Tai Lake,,2013,,North Sea Fleet,Active,"25,000 t",太湖,,
514,Type 903A replenishment ship,Fuchi II class,890,Chao Lake,,2013,,East Sea Fleet,Active,"25,000 t",巢湖,,
515,Type 903A replenishment ship,Fuchi II class,960,Dongping Lake,,2015,,North Sea Fleet,Active,"25,000 t",东平湖,,
516,Type 903A replenishment ship,Fuchi II class,966,Gaoyou Lake,,2016,,East Sea Fleet,Active,"25,000 t",高邮湖,,
517,Type 903A replenishment ship,Fuchi II class,963,Hong Lake,,2016,,South Sea Fleet,Active,"25,000 t",洪湖,,
518,Type 903A replenishment ship,Fuchi II class,964,Luoma Lake,,2016,,South Sea Fleet,Active,"25,000 t",骆马湖,,
519,Type 903A replenishment ship,Fuchi II class,968,Kekexili Lake,,2019,,North Sea Fleet,Active,"25,000 t",可可西里湖,,
520,Type 903A replenishment ship,Fuchi II class,902,?,,2020 est.,,North Sea Fleet,Active,"25,000 t",?,,
521,Type 908 replenishment ship,Fusu class,885,Qinghai Lake,,1999,,South Sea Fleet,Active,"37,000 t",青海湖,,
522,36 meter-class floating pile driver,?,Dong-Gong 410,East Engineering 410,,?,,East Sea Fleet,Active,? t,东工 410,,
523,36 meter-class floating pile driver,?,Dong-Gong 427,East Engineering 427,,?,,East Sea Fleet,Active,? t,东工 427,,
524,Donggong 429-class floating pile driver,?,Dong-Gong 429,East Engineering 429,,?,,East Sea Fleet,Active,? t,东工 429,,
525,Nangong 681-class floating pile driver,?,Nan-Gong 681,South Engineering 681,,?,,South Sea Fleet,Active,? t,南工 681,,
526,Beidiao 990 ferry / research ship,Kanwu class,Bei-Diao 990,Bei-Diao 990,,December 2009,,North Sea Fleet,Active,380 t,北调 990,,
527,Beidiao 991 multipurpose research ship,Kandao class,Bei-Diao 991,North Investigation 991,,April 2008,,North Sea Fleets,Active,1441 t,北调 991,,
528,Beidiao 993 sonar trials ship / research ship,Kantan class,Bei-Diao 993,North Investigation 991,,April 2008,,North Sea Fleets,Active,1441 t,北调 991,,
529,Dubei-class target ship / research ship,Dubei class,Shi-Yan 216,Experiment 216,,2015,,?,Active,? t,试验 216,,
530,Dubei-class target ship / research ship,Dubei class,Dong-Ba 01,East Target 01,,2015 onward,,East Sea Fleet,Active,? t,东靶 01,,
531,Dubei-class target ship / research ship,Dubei class,Nan-Ba 11,South Target 11,,2015 onward,,South Sea Fleet,Active,? t,南靶 11,,
532,Dubei-class target ship / research ship,Dubei class,Various,Various,,2015 onward,,?,Under construction,? t,Various,,
533,Type 904I dive tender / research ship,Yanqian class,Kan-Cha No. 1,Survey No. 1,,August 1981,,All fleets,Active,1354 t,勘查一号,,
534,Type 904II dive tender / research ship,Yanqian class,Kan-Cha No. 2,Survey No. 2,,May 1983,,All fleets,Active,1327 t,勘查二号,,
535,Type 906 torpedo trials craft / research ship,Xiang Yang Hong 9 class,Kan-Cha 3,Survey No. 3,,January 1987,,All fleets,Active,2300 t,勘查三号,,
536,Ankang-class ambulance craft,Ankang class,Bei-Yi 01,North Medic 01,,Mid-2010s,,North Sea Fleet,Active,? t,北医 01,,
537,Ankang-class ambulance craft,Ankang class,Dong-Yi 12,East Medic 12,,Mid-2010s,,East Sea Fleet,Active,? t,东医 12,,
538,Ankang-class ambulance craft,Ankang class,Dong-Yi 13,East Medic 13,,Mid-2010s,,East Sea Fleet,Active,? t,东医 13,,
539,Ankang-class ambulance craft,Ankang class,Nan-Yi 10,South Medic 10,,Mid-2010s,,South Sea Fleet,Active,? t,南医 10,,
540,Ankang-class ambulance craft,Ankang class,Nan-Yi 11,South Medic 11,,Mid-2010s,,South Sea Fleet,Active,? t,南医 11,,
541,Chinese medical evacuation ship Zhuanghe,?,865,Zhuanghe,,2004,,South Sea Fleet,Active,"24,043 gt",庄河,,
542,"Huayuankou cargo ship, medical evacuation",?,?,Huayuankou,,1990s,,South Sea Fleet,Active,"5,986 gt",花园口,,
543,Qiongsha-class ambulance transport,Qiongsha class,Y833,Nankang,,1986,,South Sea Fleet,Active,2150 t,南康,,
544,Type 919 hospital ship,Anshen class,Nan-Yi 12,South Medic 12,,2020,,South Sea Fleet,Active,"4,000-5,000 t",南医 12,,
545,Type 919 hospital ship,Anshen class,Nan-Yi 13,South Medic 13,,2020,,South Sea Fleet,Active,"4,000-5,000 t",南医 13,,
546,Type 920 hospital ship,Anwei class,866,Daishan Dao/Peace Ark,,2007,,,Active,"14,000 t",岱山岛,,
547,Type 920 hospital ship,Anwei class,?,Silk Road Ark,,2024 est.,,,Under construction,?,,,
548,Type 55 hydorgraphic survey craft,Shantou class,Various,Not named,,converted from retired gunboats,,All fleets,Active,77.5 t,Not named,,
549,Type 068/069 coastal hydrographic survey craft,Yuch'in class,Various,Not named,,?,,All fleets,Active,58 t,Not named,,
550,Type 635A hydrographic survey ship,Yanlai class,Bei-Ce 943,North Survey 943,,January 1970,,North Sea Fleet,Active,1245 t,北测 943,,
551,Type 635B hydrographic survey ship,Yanlai class,Dong-Ce 227,East Survey 227,,1972,,East Sea Fleet,Active,1245 t,东测 227,,
552,Type 635C hydrographic survey ship,Yanlai class,Dong -Ce 226,East Survey 226,,February 1982,,East Sea Fleet,Active,1245 t,东测 226,,
553,Type 635C hydrographic survey ship,Yanlai class,Nan -Ce 427,South Survey 427,,January 1983,,South Sea Fleet,Active,1245 t,南测 427,,
554,Type 635II hydrographic survey ship,Yanlai class,Nan-Ce 470,South Survey 470,,1980,,South Sea Fleet,Active,1245 t,南测 470,,
555,Type 636A hydrographic survey ship,Shupang class,872,Zhu Kezhen,,2008,,All fleets,Active,5883 t,竺可桢,,
556,Type 636A hydrographic survey ship,Shupang class,873,Qian Xuesen,,"December 26, 2015",,All fleets,Active,5883 t,钱学森,,
557,Type 636A hydrographic survey ship,Shupang class,874,Deng Jiaxian,,"February 2, 2016",,All fleets,Active,5883 t,邓稼先,,
558,Type 636A hydrographic survey ship,Shupang class,875,Qian Sanqiang,,"May 1, 2008",,All fleets,Active,5883 t,钱三强,,
559,Type 636A hydrographic survey ship,Shupang class,876,Qian Weichang,,"July 25, 2016",,All fleets,Active,5883 t,钱伟长,,
560,Type 636A hydrographic survey ship,Shupang class,877,Chen Jingrun,,"December 8, 2016",,All fleets,Active,5883 t,陈景润,,
561,Type 636A hydrographic survey ship,Shupang class,878,Wang Ganchang,,After 2016,,All fleets,Active,5883 t,王淦昌,,
562,Type 636A hydrographic survey ship,Shupang class,879,Zhu Guangya,,After 2016,,All fleets,Active,5883 t,朱光亚,,
563,Type 636A hydrographic survey ship,Shupang class,880,Mao Yisheng,,After 2016,,All fleets,Active,5883 t,茅以升,,
564,Type 639A hydrographic survey ship,Kanhai class,Bei-Ce 901,North Survey 901,,2015,,South Sea Fleet,Active,1500 t,北测 901,,
565,Type 639A hydrographic survey ship,Kanhai class,Bei-Ce 902,North Survey 902,,2016,,South Sea Fleet,Active,1500 t,北测 902,,
566,Type 639A hydrographic survey ship,Kanhai class,Dong-Ce 232,East Survey 232,,2013,,South Sea Fleet,Active,1500 t,东测 232,,
567,Type 639A hydrographic survey ship,Kanhai class,Dong-Ce 233,East Survey 233,,2015,,South Sea Fleet,Active,1500 t,东测 233,,
568,Type 639A hydrographic survey ship,Kanhai class,Nan-Ce 429,South Survey 429,,2013,,South Sea Fleet,Active,1500 t,南测 429,,
569,Type 639A hydrographic survey ship,Kanhai class,Nan-Ce 430,South Survey 430,,2013,,South Sea Fleet,Active,1500 t,南测 430,,
570,Type 646 coastal hydrographic survey ship,Kanyang class,Nan-Ce 426,South Survey 426,,1983,,South Sea Fleet,Active,676 t,南测 426,,
571,Type 646 coastal hydrographic survey ship,Kanyang class,Nan-Ce 428,South Survey 428,,1983,,South Sea Fleet,Active,676 t,南测 428,,
572,Type 8101 coastal hydrographic survey ship,?,Various,Not named,,1975-,,All fleets,Active,200 t,Not named,,
573,Type 8105 hydrographic survey ship,FT-14 AIT class,Various,Not named,,1980s,,All fleets,Active,366.82 t,Not named,,
574,Type 8154 hydrographic survey ship,FT-14 AIT class,Various,Not named,,1981-,,All fleets,Active,600 t,Not named,,
575,Type 792 hydrographic survey ship,FT-14 AIT class,Various,Not named,,1990s,,All fleets,Active,600 t,Not named,,
576,Yanjiu-class survey ship,Yanjiu class,Dong-Ce 228,East Survey 228,,?,,East Sea Fleet,Active,? t,东测 228,,
577,Yanjiu-class survey ship,Yanjiu class,Dong-Ce 229,East Survey 229,,?,,East Sea Fleet,Active,? t,东测 229,,
578,Type 272 icebreaker,Yanrao class,Hai-bing 722,Sea Ice 722,,"January 1, 2016",,North Sea Fleet,Active,4860 t,海冰 722,,
579,Type 272 icebreaker,Yanrao class,Hai-bing 723,Sea Ice 723,,"March 17, 2016",,North Sea Fleet,Active,4860 t,海冰 723,,
580,Type 031 ballistic submarine,Golf class,200,Long March # 200,,September 2020[12],,,On Chinese naval registry,"3,553 t",长征 200号,,
581,Type 033 submarine,Romeo class,237,Great Wall 237,,1998,,,On Chinese naval registry,"1,830 t",长城 237,,
582,Type 051 destroyer,Luda II class,105,Jinan,,2007,,,On Chinese naval registry,"3,670 t",济南,,
583,Type 053K frigate,Jiangdong class,531[13],Yingtan,,1994,,,On Chinese naval registry,"1,730 t",鹰潭,,
584,Type 091 submarine,Han class,401[13],Long March # 1,,2016[14],,,On Chinese naval registry,"5,000 t",长征1号,,
585,Type 6607 destroyer,Anshan class,101[13],Anshan,,1992,,,On Chinese naval registry,"2,150 t",鞍山,,
586,Type 021 missile boat,Huangfeng,3101[15],Not named,,1960s,,,On Chinese naval registry,205 t,Not named,,
587,Type 024 missile boat,Not assigned,3139[16],Not named,,1993,,,On Chinese naval registry,78 t,Not named,,
588,Minquan-class gunboat (replica),Minquan class,53-219[13][17],Yangtze,,2021,,,On Chinese naval registry,464 t,长江,,
589,Project 183 torpedo boat,P-6 class,245[18],Not assigned,,1991,,,On Chinese naval registry,67 t,Not assigned,,
590,Japanese 25-ton riverine gunboat,,414[19],Heroic Gunboat in the Toumenshan Naval Battle,,1960s,,,On Chinese naval registry,25 t,头门山海战英雄艇,,
591,"Gunboat converted from Landing craft, control","N/A, ex-USN craft",Not assigned,Liberation[13],,1989,,,On Chinese naval registry,28 t,解放,,
592,Chinese oceanographic research ship Zhang Jian,?,Not assigned,Zhang Jian,,2016,,All fleets,Active,4800 t,张謇,,
593,Type 639 oceanographic research ship,Kanhai class,Bei-Diao 992,North Investigation 992,,2008,,North Sea Fleet,Active,1500 t,北调 992,,
594,Type 645 oceanographic research ship,?,Nan-Diao 350,South Investigation 350,,?,,South Sea Fleet,Active,4435 t,南调 350,,
595,Type 645 oceanographic research ship,?,Xiang-Yang-Hong 9,Facing the Red Sun 9,,December 1978,,North Sea Fleet,Active,4435 t,向阳红 9,,
596,Type 645 oceanographic research ship,?,Xiang-Yang-Hong 14,Facing the Red Sun 14,,July 1981,,North Sea Fleet,Active,4400 t,向阳红 14,,
597,Chinese oceanographic surveillance ship Ruili No. 10,?,Rui-Li 10,Rui-Li 10,,2016,,All fleets,Active,5300 t,瑞利十号,,
598,Type 927 oceanographic surveillance ship,Dongjian class,780,Beta Ursae Majoris,,2018,,South Sea Fleet,Active,5000 t,天璇星,,
599,Type 927 oceanographic surveillance ship,Dongjian class,781,Gamma Ursae Majoris,,2019,,South Sea Fleet,Active,5000 t,天玑星,,
600,Type 927 oceanographic surveillance ship,Dongjian class,782,Eta Ursae Majoris,,2019,,South Sea Fleet,Active,5000 t,瑶光星,,
601,Type 988 oceanographic surveillance ship,?,Hai-Sheng 582,Hai-Sheng 582,,1972,,South Sea Fleet,Active,590 t,海声 582,,
602,Beidiao 990,Kanwu class,Bei-Diao 990,Bei-Diao 990,,December 2009,,North Sea Fleet,Active,380 t,北调 990,,
603,Daguan-class barracks ship / troopship / training ship,Daguan class,88,Xu Xiake,,2011,,North Sea Fleet,Active,30000 t,徐霞客,,
604,Daguan-class barracks ship / troopship / training ship,Daguan class,89,Li Daoyuan,,2018,,North Sea Fleet,Active,30000 t,郦道元,,
605,Darong-class transport / troopship,Darong class,Nan-Yun 830,South Transport 830,,2015,,South Sea Fleet,Active,"5,000 t",南运 830,,
606,Darong-class transport / troopship,Darong class,Nan-Yun 831,South Transport 831,,2015,,South Sea Fleet,Active,"5,000 t",南运 831,,
607,Duchuan-class dispatch boat,Duchuan class,Bei-Jiao 72,North Traffic 72,,Duchuan class,,South Sea Fleet,Active,? t,北交 72,,
608,Duchuan-class dispatch boat,Duchuan class,Nan-Jiao 83,South Traffic 83,,Duchuan class,,South Sea Fleet,Active,? t,南交 83,,
609,Duchuan-class dispatch boat,Duchuan class,Nan-Jiao 89,South Traffic 89,,Duchuan class,,South Sea Fleet,Active,? t,南交 89,,
610,Duludao-class dispatch boat,Duludao class,Bei-Jiao 74,North Traffic 74,,?,,North Sea Fleet,Active,? t,北交 74,,
611,Duludao-class dispatch boat,Duludao class,Dong-Jiao 92,East Traffic 92,,?,,East Sea Fleet,Active,? t,东交 92,,
612,Duludao-class dispatch boat,Duludao class,Dong-Jiao 93,East Traffic 93,,?,,East Sea Fleet,Active,? t,东交 93,,
613,Duludao-class dispatch boat,Duludao class,Nan-Jiao 92,South Traffic 92,,?,,South Sea Fleet,Active,? t,南交 92,,
614,Dufei-class dispatch boat,Dufei class,Bei-Jiao 88,Bei-Jiao 88,,?,,North Sea Fleet,Active,? t,北交 88,,
615,Dukou-class dispatch boat,Dukou class,Bei-Jiao 90,North Traffic 90,,?,,North Sea Fleet,Active,? t,北交90,,
616,Dukou-class dispatch boat,Dukou class,Dong-Jiao 87,East Traffic 87,,?,,East Sea Fleet,Active,? t,东交87,,
617,Dukou-class dispatch boat,Dukou class,Dong-Jiao 88,East Traffic 88,,?,,East Sea Fleet,Active,? t,东交88,,
618,Dukou-class dispatch boat,Dukou class,Nan-Jiao 85,South Traffic 85,,?,,South Sea Fleet,Active,? t,南交85,,
619,Dukou-class dispatch boat,Dukou class,Nan-Jiao 86,South Traffic 86,,?,,South Sea Fleet,Active,? t,南交86,,
620,Dumuju-class dispatch boat,Dumuju class,Bei-Jiao 77,Bei-Jiao 77,,?,,North Sea Fleet,Active,? t,北交 77,,
621,Dusso-class dispatch boat,Dusso class,Dong-Jiao 65,East Traffic 65,,?,,East Sea Fleet,Active,? t,东交 65,,
622,Duzhou-class dispatch boat,Duzhou class,Dong-Jiao 82,East Traffic 82,,?,,East Sea Fleet,Active,? t,东交 82,,
623,Nanjiao 90-class dispatch boat,?,Nan-Jiao 90,South Traffic 90,,?,,South Sea Fleet,Active,? t,南交 90,,
624,Nanjiao 90-class dispatch boat,?,Nan-Jiao 91,South Traffic 91,,?,,South Sea Fleet,Active,? t,南交 91,,
625,Qiongsha-class troopship,Qiongsha class,Nan-Yun 834,South Transport 834,,1980s,,South Sea Fleet,Active,2150 t,南运 834,,
626,Qiongsha-class troopship,Qiongsha class,Nan-Yun 835,South Transport 835,,1980s,,South Sea Fleet,Active,2150 t,南运 835,,
627,Type 081 transport ship,?,Bei-Yun 443,North Transport 443,,Early 1970s,,North Sea Fleet,Active,1950 t,北运 443,,
628,Type 081 transport ship,?,Bei-Yun 528,North Transport 528,,Early 1970s,,North Sea Fleet,Active,1950 t,北运 528,,
629,Type 081 transport ship,?,Dong-Yun 577,East Transport 577,,Early 1970s,,East Sea Fleet,Active,1950 t,东运 577,,
630,Type 081 transport ship,?,Dong-Yun 765,East Transport 756,,Early 1970s,,East Sea Fleet,Active,1950 t,东运 756,,
631,Type 081 transport ship,?,Dong-Yun 771,East Transport 771,,Early 1970s,,East Sea Fleet,Active,1950 t,东运 771,,
632,Type 081 transport ship,?,Nan-Yun 836,South Transport 836,,Early 1970s,,South Sea Fleet,Active,1950 t,南运 836,,
633,Type 805 dispatch boat,?,Several,Not named,,1971-1980,,All fleets,Being retired,52 t,Not named,,
634,Dachou-class torpedo retriever / range support / target ship,Dachou class,Bei-Yun 530,North Transport 530,,Since early 2010s,,North Sea Fleet,Active,? t,北运 530,,
635,Dachou-class torpedo retriever / range support / target ship,Dachou class,Dong-Yun 760,East Transport 760,,Since early 2010s,,East Sea Fleet,Active,? t,东运 760,,
636,Dachou-class torpedo retriever / range support / target ship,Dachou class,Nan-Yun 846,South Transport 846,,Since early 2010s,,South Sea Fleet,Active,? t,南运 846,,
637,Dachou-class torpedo retriever / range support / target ship,Dachou class,Nan-Yun 847,South Transport 847,,Since early 2010s,,South Sea Fleet,Active,? t,南运 847,,
638,Dubei-class research ship / target ship,Dubei class,Shi-Yan 216,Experiment 216,,2015,,?,Active,? t,试验 216,,
639,Dubei-class research ship / target ship,Dubei class,Dong-Ba 01,East Target 01,,2015 onward,,East Sea Fleet,Active,? t,东靶 01,,
640,Dubei-class research ship / target ship,Dubei class,Nan-Ba 11,South Target 11,,2015 onward,,South Sea Fleet,Active,? t,南靶 11,,
641,Dubei-class research ship / target ship,Dubei class,Various,Various,,2015 onward,,?,Under construction,? t,Various,,
642,Type 811 target ship,?,Several,Not named,,1975 onward,,All fleets,Being retired,66 t,Not named,,
643,Type 917 torpedo retriever / range support / target ship,Damen class,Bei-Yun 455,North Transport 455,,1990s-2007,,North Sea Fleet,Active,720 t,北运 455,,
644,Type 917 torpedo retriever / range support / target ship,Damen class,Bei-Yun 484,North Transport 484,,1990s-2007,,North Sea Fleet,Active,720 t,北运 484,,
645,Type 917 torpedo retriever / range support / target ship,Damen class,Bei-Yun 485,North Transport 485,,1990s-2007,,North Sea Fleet,Active,720 t,北运 485,,
646,Type 917 torpedo retriever / range support / target ship,Damen class,Bei-Yun 529,North Transport 529,,1990s-2007,,North Sea Fleet,Active,720 t,北运 529,,
647,Type 917 torpedo retriever / range support / target ship,Damen class,Dong-Yun 758,East Transport 758,,1990s-2007,,East Sea Fleet,Active,720 t,东运 758,,
648,Type 917 torpedo retriever / range support / target ship,Damen class,Dong-Yun 803,East Transport 803,,1990s-2007,,East Sea Fleet,Active,720 t,东运 803,,
649,Type 917 torpedo retriever / range support / target ship,Damen class,Nan-Yun 841,South Transport 841,,1990s-2007,,South Sea Fleet,Active,720 t,南运 841,,
650,Type 917 torpedo retriever / range support / target ship,Damen class,Nan-Yun 844,South Transport 844,,1990s-2007,,South Sea Fleet,Active,720 t,南运 844,,
651,Type 917 torpedo retriever / range support / target ship,Damen class,Nan-Yun 854,South Transport 854,,1990s-2007,,South Sea Fleet,Active,720 t,南运 854,,
652,Decommissioned ships,Various,Various,Various,,ongoing,,All fleets,Active,? t,Various,,
653,120 ton-class repair dry dock,?,809,Not named,,1971,,East Sea Fleet,Active,518 t,Not named,,
654,Dongxiu 912-class repair dry dock,?,Dong-Xiu 912,East Repair 912,,?,,East Sea Fleet,Active,? t,东修 912,,
655,Hua Chuan No. 1-class repair dry dock,?,Hua Chuan No. 1,China Ship No. 1,,2016,,East Sea Fleet,Active,13000 t,华船一号,,
656,Type 648 repair ship,Dadao class,Dong-Xiu 911,East Repair 911,,January 1985,,East Sea Fleet,Active,1900 t,东修 911,,
657,Datuo-class rescue and salvage ship,Datuo class,Bei-Tuo 742,North Tug 742,,?,,North Sea Fleet,Active,? t,北拖 742,,
658,Datuo-class rescue and salvage ship,Datuo class,Nan-Tuo 159,South Tug 159,,?,,South Sea Fleet,Active,? t,南拖 159,,
659,Datuo-class rescue and salvage ship,Datuo class,Nan-Tuo 194,South Tug 194,,?,,South Sea Fleet,Active,? t,南拖 194,,
660,Datuo-class rescue and salvage ship,Datuo class,Nan-Tuo 196,South Tug 196,,?,,South Sea Fleet,Active,? t,南拖 196,,
661,Datuo-class rescue and salvage ship,Datuo class,Various,Various,,?,,?,Under construction,? t,Various,,
662,Haijiu 101-class rescue and salvage ship,Haijiu (Hai Jiu) 101 class,Bei-Jiu 739,North Rescue 739,,?,,North Sea Fleet,Active,? t,北救739,,
663,Haijiu 101-class rescue and salvage ship,Haijiu (Hai Jiu) 101 class,Bei-Jiu 742,North Rescue 742,,?,,North Sea Fleet,Active,? t,北救742,,
664,Haijiu 101-class rescue and salvage ship,Haijiu (Hai Jiu) 101 class,Bei-Jiu 743,North Rescue 743,,?,,North Sea Fleet,Active,? t,北救743,,
